2012-12-12 15:50:42,547 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | defaultResponseTimeout="10000" for org.mule.api.config.MuleConfiguration
2012-12-12 15:50:42,549 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | defaultResponseTimeout: 10000
2012-12-12 15:50:42,549 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | defaultTransactionTimeout="30000" for org.mule.api.config.MuleConfiguration
2012-12-12 15:50:42,558 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | defaultTransactionTimeout: 30000
2012-12-12 15:50:42,562 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | shutdownTimeout="5000" for org.mule.api.config.MuleConfiguration
2012-12-12 15:50:42,563 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | shutdownTimeout: 5000
2012-12-12 15:50:42,565 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | copy org.mule.api.config.MuleConfiguration -> org.mule.config.spring.MuleConfigurationConfigurator
2012-12-12 15:50:42,570 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | defaultResponseTimeout: 10000
2012-12-12 15:50:42,570 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | defaultTransactionTimeout: 30000
2012-12-12 15:50:42,571 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | shutdownTimeout: 5000
2012-12-12 15:50:42,572 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | register _muleConfiguration: org.mule.config.spring.MuleConfigurationConfigurator
2012-12-12 15:50:42,573 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | parsing: mule:notifications{}
2012-12-12 15:50:42,575 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | copy org.mule.config.spring.ServerNotificationManagerConfigurator -> org.mule.config.spring.ServerNotificationManagerConfigurator
2012-12-12 15:50:42,576 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | register _muleNotificationManager: org.mule.config.spring.ServerNotificationManagerConfigurator
2012-12-12 15:50:42,577 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | parsing: mule:notification{event=CONTEXT}
2012-12-12 15:50:42,578 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | event="CONTEXT" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,579 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | value: org.mule.context.notification.MuleContextNotification
2012-12-12 15:50:42,579 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | interface="CONTEXT" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,580 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | key: org.mule.api.context.notification.MuleContextNotificationListener
2012-12-12 15:50:42,580 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | insert org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair -> org.mule.config.spring.ServerNotificationManagerConfigurator
2012-12-12 15:50:42,582 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | register ._muleNotificationManager:notification.1: org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,582 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | parsing: mule:notification{event=MODEL}
2012-12-12 15:50:42,583 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | event="MODEL" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,584 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | value: org.mule.context.notification.ModelNotification
2012-12-12 15:50:42,585 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | interface="MODEL" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,585 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | key: org.mule.api.context.notification.ModelNotificationListener
2012-12-12 15:50:42,586 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | insert org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair -> org.mule.config.spring.ServerNotificationManagerConfigurator
2012-12-12 15:50:42,587 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | register ._muleNotificationManager:notification.2: org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,587 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | parsing: mule:notification{event=SERVICE}
2012-12-12 15:50:42,588 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | event="SERVICE" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,588 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | value: org.mule.context.notification.ServiceNotification
2012-12-12 15:50:42,589 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | interface="SERVICE" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,589 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | key: org.mule.api.context.notification.ServiceNotificationListener
2012-12-12 15:50:42,590 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | insert org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair -> org.mule.config.spring.ServerNotificationManagerConfigurator
